Time,PercentageEVcharging,Powerperchargingevent,Continousnoofchargingevents,Totalchargingpower,charging_duration_Min,Energychargingevent
21.87,90.24596053,26.17744799,462.4048315,12104.57843,9123.012758,3980.286533
21.96,90.93061932,26.37604546,465.9129058,12288.93999,9261.962897,4071.565908
21.96,91.60568628,26.57186066,469.3718332,12472.08295,9399.9946,4162.922445
21.96,92.26957378,26.76443305,472.773479,12653.51413,9536.736161,4254.088941
22.09,92.92228183,26.95376264,476.1178431,12833.16733,9672.137697,4345.008396
22.15,93.56261972,27.13950405,479.3988247,13010.64634,9805.900577,4435.454641
22.29,94.18972749,27.32140783,482.6120174,13185.63975,9937.790099,4525.24027
22.51,94.79864383,27.49803486,485.7320003,13356.67548,10066.69679,4613.572986
22.67,95.39433006,27.67082426,488.7841945,13525.06154,10193.60647,4701.091554
22.82,95.98161516,27.84117676,491.7933426,13692.10538,10319.50454,4788.4525
22.88,96.55097344,28.00632927,494.7106369,13855.02899,10442.29727,4874.173592
22.93,97.1069693,28.16760577,497.5594644,14015.05884,10562.90901,4958.864281
23.09,97.64311998,28.32312582,500.3066085,14170.24702,10679.87168,5041.455823
23.1,98.15949163,28.47290861,502.9524083,14320.51796,10793.1283,5121.862597
23.33,98.66263316,28.61885377,505.5304193,14467.70115,10904.05774,5201.027234
23.52,99.13263323,28.75518566,507.9386191,14605.8693,11008.1927,5275.710417
23.63,99.58292042,28.88579948,510.2458134,14738.85825,11108.42419,5347.928564
23.69,100,29.00678084,512.3828577,14862.57726,11201.66909,5415.406004
0.15,0.384401184,0.111502409,2.267156565,0.252793419,0.219309064,0.000407558
0.26,0.738108486,0.214101511,4.353283937,0.932044668,0.80858847,0.002885334
0.49,1.067935418,0.309773686,6.298567474,1.951130464,1.692688829,0.008739174
0.56,1.385193734,0.401800111,8.169722677,3.282595476,2.84779147,0.019070715
0.72,1.683003772,0.488185216,9.926174038,4.845811414,4.203947915,0.034205087
0.86,1.957727248,0.567873652,11.54646335,6.556932315,5.68841822,0.05383838
0.86,2.216706879,0.642995306,13.07389718,8.406454519,7.292957553,0.078155625
1.02,2.455973628,0.712398888,14.48506656,10.31914531,8.952298327,0.106293456
1.2,2.684193226,0.778598046,15.83108104,12.32604878,10.69337261,0.138763984
1.45,2.901564125,0.841650347,17.11311107,14.40325586,12.49543828,0.175279833
1.63,3.112452263,0.902822207,18.35690648,16.57302282,14.37780359,0.216343339
1.83,3.302304509,0.957892232,19.47663447,18.65651685,16.18532345,0.258396593
2.04,3.469400945,1.006361529,20.46215116,20.59232172,17.86471667,0.299639393
2.13,3.621878096,1.050590242,21.36144489,22.44212555,19.46950033,0.340907784
2.29,3.765226464,1.092170989,22.20689805,24.25372979,21.04114422,0.383008788
2.5,3.90612726,1.133041774,23.03791568,26.10292084,22.64539626,0.427636332
2.76,4.03346718,1.169978985,23.78895275,27.8325748,24.14594478,0.470837466
2.95,4.145394009,1.202445355,24.44908507,29.39868878,25.5046154,0.511131772
3.24,4.247001343,1.231918372,25.04835412,30.85752763,26.77022027,0.549645436
3.5,4.332467929,1.256709477,25.55242679,32.11197691,27.85850849,0.583500861
3.76,4.406159706,1.27808509,25.98705292,33.21366486,28.81426973,0.613784808
4,4.469135085,1.29635222,26.35847488,34.16986742,29.64381621,0.640480449
